roomNumber;dayOfWeek;block;capacity;floor;resourceId;detailCodes
R-003;tuesday;C;45;;R-003_tuesday_C;AUDA,DATA,DELT,TAUT,TMTC
R-003;wednesday;C;45;;R-003_wednesday_C;AUDA,DATA,DELT,TAUT,TMTC
R-003;monday;D;45;;R-003_monday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;saturday;D;45;;R-003_saturday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;sunday;D;45;;R-003_sunday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;thursday;D;45;;R-003_thursday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;tuesday;D;45;;R-003_tuesday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;wednesday;D;45;;R-003_wednesday_D;AUDA,DATA,DELT,TAUT,TMTC
R-003;monday;E;45;;R-003_monday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;saturday;E;45;;R-003_saturday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;sunday;E;45;;R-003_sunday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;thursday;E;45;;R-003_thursday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;tuesday;E;45;;R-003_tuesday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;wednesday;E;45;;R-003_wednesday_E;AUDA,DATA,DELT,TAUT,TMTC
R-003;friday;F;45;;R-003_friday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;monday;F;45;;R-003_monday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;saturday;F;45;;R-003_saturday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;sunday;F;45;;R-003_sunday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;thursday;F;45;;R-003_thursday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;tuesday;F;45;;R-003_tuesday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;wednesday;F;45;;R-003_wednesday_F;AUDA,DATA,DELT,TAUT,TMTC
R-003;friday;G;45;;R-003_friday_G;AUDA,DATA,DELT,TAUT,TMTC
R-003;monday;G;45;;R-003_monday_G;AUDA,DATA,DELT,TAUT,TMTC
R-003;saturday;G;45;;R-003_saturday_G;AUDA,DATA,DELT,TAUT,TMTC
